,School,Rating,Rating Count,Public_or_Private
0,Harvard University,3.961237785016285,1671,private
1,Stanford University,3.94139941690962,1963,private
2,Yale University,3.828695652173914,1075,private
3,Massachusetts Institute of Technology,3.8820512820512794,1300,private
4,Princeton University,4.076571428571428,804,private
5,University of Pennsylvania,3.777272727272727,1757,private
6,Brown University,3.8526315789473666,2034,private
7,California Institute of Technology,3.680392156862745,246,private
8,Duke University,3.848800000000009,17231,private
9,Dartmouth College,3.870866141732285,404,private
10,Cornell University,3.7996378685980337,20510,private
11,Pomona College,4.106854838709678,1571,private
12,University of California Berkeley,3.8038814396612524,35898,private
13,Columbia University,3.7233905579399145,2918,private
14,Georgetown University,3.8596185286103646,23324,private
15,University of Chicago,3.8627009646302244,1478,private
16,Northwestern University,3.7361502347417828,863,private
17,University of Notre Dame,3.9435045317220543,1021,private
18,Williams College,3.9894736842105254,341,private
19,University of Michigan,3.834272064370103,51571,private
20,Rice University,3.917307692307691,622,private
21,Johns Hopkins University,3.6812977099236632,3118,private
22,Harvey Mudd College,4.157894736842106,996,private
23,United States Naval Academy,3.8940940940940956,8138,private
24,Swarthmore College,4.014500000000001,1266,private
25,Bowdoin College,3.9774891774891774,2068,private
26,Vanderbilt University,3.8748152709359616,19522,private
27,Amherst College,4.083255813953489,1787,private
28,Claremont McKenna College,3.88973384030418,3165,private
29,University of Southern California,3.821065989847718,31275,private
30,Washington University in St. Louis,3.809511111111115,9587,private
31,United States Military Academy,4.1461538461538465,216,private
32,University of Virginia,3.8256341789052115,15044,private
33,Tufts University,3.84341675734494,9660,private
34,New York University,3.807168458781352,33791,private
35,Middlebury College,4.185555555555556,345,private
36,Carnegie Mellon University,3.7761220825852795,3252,private
37,University of California Los Angeles (UCLA),3.757828810020879,4436,private
38,Bates College,3.871138211382113,2016,private
39,Wesleyan University,3.923820224719102,3602,private
40,Boston College,3.9216981132075475,1058,private
41,Washington and Lee University,3.9233146067415743,3970,private
42,United States Air Force Academy,4.405555555555557,365,private
43,Wellesley College,4.119377162629759,1560,private
44,University of North Carolina at Chapel Hill,3.874749899959984,23841,private
45,Colgate University,3.8850000000000002,6034,private
46,College of William and Mary,3.8493288590604076,20617,private
47,Davidson College,3.9010489510489528,3654,private
48,Haverford College,4.006081081081081,653,private
49,Barnard College,3.574074074074074,68,private
